cp_hex	char	count	block	category	name
U+76C8	盈	76	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-76C8
U+8499	蒙	76	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8499
U+85CF	藏	76	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-85CF
U+9678	陸	76	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-9678
U+5206	分	75	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5206
U+897F	西	75	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-897F
U+91D1	金	75	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-91D1
U+964D	降	75	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-964D
U+566C	噬	74	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-566C
U+6027	性	74	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6027
U+725B	牛	74	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-725B
U+96E8	雨	74	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-96E8
U+9996	首	74	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-9996
U+53E3	口	73	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-53E3
U+7406	理	72	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7406
U+91CD	重	72	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-91CD
U+4E03	七	71	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E03
U+5C1A	尚	71	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5C1A
U+5E38	常	71	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5E38
U+7FA3	羣	71	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7FA3
U+8A1F	訟	71	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8A1F
U+96A8	隨	71	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-96A8
U+4E82	亂	70	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4E82
U+4F2F	伯	70	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4F2F
U+54B8	咸	70	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-54B8
U+5C0A	尊	70	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5C0A
U+7121	無	70	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7121
U+7591	疑	70	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7591
U+8CB4	貴	70	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8CB4
U+9769	革	70	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-9769
U+53CA	及	69	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-53CA
U+5B54	孔	69	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5B54
U+5371	危	67	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5371
U+592C	夬	67	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-592C
U+6D41	流	67	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6D41
U+8FD1	近	67	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-8FD1
U+9060	遠	67	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-9060
U+4F7F	使	66	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-4F7F
U+5668	器	66	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5668
U+6298	折	66	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6298
U+670B	朋	66	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-670B
U+6CD5	法	66	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6CD5
U+6EC5	滅	66	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6EC5
U+7537	男	66	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-7537
U+514A	兊	65	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-514A
U+5B58	存	65	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-5B58
U+6B7B	死	65	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6B7B
U+912D	鄭	65	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-912D
