cp_hex	char	count	block	category	name
U+6B0A	權	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6B0A
U+6B83	殃	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6B83
U+6B86	殆	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6B86
U+6B8A	殊	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6B8A
U+6C57	汗	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6C57
U+6C72	汲	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6C72
U+6CAC	沬	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6CAC
U+6CB1	沱	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6CB1
U+6D0C	洌	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6D0C
U+6D17	洗	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6D17
U+6D1B	洛	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6D1B
U+6DEB	淫	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6DEB
U+6E05	清	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6E05
U+6E2C	測	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6E2C
U+6E38	游	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6E38
U+6E6F	湯	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6E6F
U+6E96	準	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6E96
U+6E9D	溝	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6E9D
U+6ED5	滕	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6ED5
U+6EFF	滿	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6EFF
U+6F01	漁	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6F01
U+6F0F	漏	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6F0F
U+6FD5	濕	1	CJK Unified Ideographs	Lo	CJK UNIFIED IDEOGRAPH-6FD5
