variant_type	side	cp_hex	char	count	name
kSemanticVariant	source	U+8FA8	辨	191097	CJK UNIFIED IDEOGRAPH-8FA8
kSemanticVariant	source	U+771E	眞	187637	CJK UNIFIED IDEOGRAPH-771E
kSemanticVariant	source	U+95DC	關	186721	CJK UNIFIED IDEOGRAPH-95DC
kSemanticVariant	source	U+6E29	温	184921	CJK UNIFIED IDEOGRAPH-6E29
kSemanticVariant	source	U+64CA	擊	184841	CJK UNIFIED IDEOGRAPH-64CA
kSemanticVariant	source	U+9F4B	齋	182902	CJK UNIFIED IDEOGRAPH-9F4B
kSemanticVariant	source	U+8462	葢	181301	CJK UNIFIED IDEOGRAPH-8462
kSemanticVariant	source	U+6765	来	180987	CJK UNIFIED IDEOGRAPH-6765
kSemanticVariant	source	U+96B1	隱	180197	CJK UNIFIED IDEOGRAPH-96B1
kSemanticVariant	source	U+7384	玄	177938	CJK UNIFIED IDEOGRAPH-7384
kSemanticVariant	source	U+7AD2	竒	176568	CJK UNIFIED IDEOGRAPH-7AD2
kSemanticVariant	source	U+69AE	榮	175821	CJK UNIFIED IDEOGRAPH-69AE
kSemanticVariant	source	U+9F13	鼓	175440	CJK UNIFIED IDEOGRAPH-9F13
kSemanticVariant	source	U+5FCD	忍	173116	CJK UNIFIED IDEOGRAPH-5FCD
kSemanticVariant	source	U+58FD	壽	172994	CJK UNIFIED IDEOGRAPH-58FD
kSemanticVariant	source	U+6B74	歴	172029	CJK UNIFIED IDEOGRAPH-6B74
kSemanticVariant	source	U+8CEA	質	171220	CJK UNIFIED IDEOGRAPH-8CEA
kSemanticVariant	source	U+96D9	雙	171081	CJK UNIFIED IDEOGRAPH-96D9
kSemanticVariant	source	U+7565	略	171024	CJK UNIFIED IDEOGRAPH-7565
kSemanticVariant	source	U+6108	愈	167741	CJK UNIFIED IDEOGRAPH-6108
kSemanticVariant	source	U+7FFB	翻	167679	CJK UNIFIED IDEOGRAPH-7FFB
kSemanticVariant	source	U+65D7	旗	166665	CJK UNIFIED IDEOGRAPH-65D7
kSemanticVariant	source	U+689D	條	166292	CJK UNIFIED IDEOGRAPH-689D
kSemanticVariant	source	U+5BC6	密	165789	CJK UNIFIED IDEOGRAPH-5BC6
kSemanticVariant	source	U+8CA1	財	164954	CJK UNIFIED IDEOGRAPH-8CA1
kSemanticVariant	source	U+6C88	沈	163298	CJK UNIFIED IDEOGRAPH-6C88
kSemanticVariant	source	U+821E	舞	160656	CJK UNIFIED IDEOGRAPH-821E
kSemanticVariant	source	U+9640	陀	157696	CJK UNIFIED IDEOGRAPH-9640
kSemanticVariant	source	U+85A6	薦	156746	CJK UNIFIED IDEOGRAPH-85A6
kSemanticVariant	source	U+96F7	雷	155263	CJK UNIFIED IDEOGRAPH-96F7
kSemanticVariant	source	U+95D7	闗	152054	CJK UNIFIED IDEOGRAPH-95D7
kSemanticVariant	source	U+5371	危	150588	CJK UNIFIED IDEOGRAPH-5371
kSemanticVariant	source	U+61F7	懷	150438	CJK UNIFIED IDEOGRAPH-61F7
kSemanticVariant	source	U+5954	奔	150019	CJK UNIFIED IDEOGRAPH-5954
kSemanticVariant	source	U+8FB2	農	149084	CJK UNIFIED IDEOGRAPH-8FB2
kSemanticVariant	source	U+52F8	勸	149073	CJK UNIFIED IDEOGRAPH-52F8
kSemanticVariant	source	U+8AA4	誤	148760	CJK UNIFIED IDEOGRAPH-8AA4
kSemanticVariant	source	U+904D	遍	146805	CJK UNIFIED IDEOGRAPH-904D
kSemanticVariant	source	U+6885	梅	146441	CJK UNIFIED IDEOGRAPH-6885
kSemanticVariant	source	U+6B4E	歎	145682	CJK UNIFIED IDEOGRAPH-6B4E
kSemanticVariant	source	U+8346	荆	144199	CJK UNIFIED IDEOGRAPH-8346
kSemanticVariant	source	U+8CD4	賔	143979	CJK UNIFIED IDEOGRAPH-8CD4
kSemanticVariant	source	U+5C08	專	141986	CJK UNIFIED IDEOGRAPH-5C08
kSemanticVariant	source	U+6C7A	決	141543	CJK UNIFIED IDEOGRAPH-6C7A
kSemanticVariant	source	U+5449	呉	141281	CJK UNIFIED IDEOGRAPH-5449
kSemanticVariant	source	U+61FC	懼	139806	CJK UNIFIED IDEOGRAPH-61FC
kSemanticVariant	source	U+6052	恒	138969	CJK UNIFIED IDEOGRAPH-6052
kSemanticVariant	source	U+96CD	雍	138534	CJK UNIFIED IDEOGRAPH-96CD
kSemanticVariant	source	U+971C	霜	138073	CJK UNIFIED IDEOGRAPH-971C
kSemanticVariant	source	U+6028	怨	136986	CJK UNIFIED IDEOGRAPH-6028
kSemanticVariant	source	U+9F0E	鼎	136362	CJK UNIFIED IDEOGRAPH-9F0E
kSemanticVariant	source	U+7ACA	竊	136245	CJK UNIFIED IDEOGRAPH-7ACA
kSemanticVariant	source	U+5DD6	巖	135855	CJK UNIFIED IDEOGRAPH-5DD6
kSemanticVariant	source	U+5764	坤	135832	CJK UNIFIED IDEOGRAPH-5764
kSemanticVariant	source	U+5F3A	强	135443	CJK UNIFIED IDEOGRAPH-5F3A
kSemanticVariant	source	U+6E1B	減	135202	CJK UNIFIED IDEOGRAPH-6E1B
kSemanticVariant	source	U+7A46	穆	135073	CJK UNIFIED IDEOGRAPH-7A46
kSemanticVariant	source	U+5439	吹	133982	CJK UNIFIED IDEOGRAPH-5439
kSemanticVariant	source	U+6275	扵	133531	CJK UNIFIED IDEOGRAPH-6275
kSemanticVariant	source	U+9189	醉	132615	CJK UNIFIED IDEOGRAPH-9189
kSemanticVariant	source	U+5F83	徃	132280	CJK UNIFIED IDEOGRAPH-5F83
kSemanticVariant	source	U+9E7D	鹽	132027	CJK UNIFIED IDEOGRAPH-9E7D
kSemanticVariant	source	U+8944	襄	130225	CJK UNIFIED IDEOGRAPH-8944
kSemanticVariant	source	U+6B61	歡	129395	CJK UNIFIED IDEOGRAPH-6B61
kSemanticVariant	source	U+7B87	箇	128608	CJK UNIFIED IDEOGRAPH-7B87
kSemanticVariant	source	U+5900	夀	128499	CJK UNIFIED IDEOGRAPH-5900
kSemanticVariant	source	U+5179	兹	128134	CJK UNIFIED IDEOGRAPH-5179
kSemanticVariant	source	U+8239	船	128063	CJK UNIFIED IDEOGRAPH-8239
kSemanticVariant	source	U+6D85	涅	125811	CJK UNIFIED IDEOGRAPH-6D85
kSemanticVariant	source	U+5F91	徑	125142	CJK UNIFIED IDEOGRAPH-5F91
kSemanticVariant	source	U+51F6	凶	123576	CJK UNIFIED IDEOGRAPH-51F6
kSemanticVariant	source	U+984D	額	123523	CJK UNIFIED IDEOGRAPH-984D
