cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types
U+7C54	籔	571	U+4264	䉤	6	95.167	kSimplifiedVariant,kTraditionalVariant
U+7043	灃	2166	U+6CA3	沣	23	94.174	kSimplifiedVariant,kTraditionalVariant
U+526E	剮	188	U+5250	剐	2	94.000	kSimplifiedVariant,kTraditionalVariant
U+7A47	穇	94	U+415F	䅟	1	94.000	kSimplifiedVariant,kTraditionalVariant
U+4E82	亂	381268	U+4E71	乱	4103	92.924	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+96DB	雛	12134	U+96CF	雏	132	91.924	kSimplifiedVariant,kTraditionalVariant
U+893B	褻	2293	U+4EB5	亵	25	91.720	kSimplifiedVariant,kTraditionalVariant
U+6B5F	歟	66185	U+6B24	欤	722	91.669	kSimplifiedVariant,kTraditionalVariant
U+6397	掗	91	U+631C	挜	1	91.000	kSimplifiedVariant,kTraditionalVariant
U+79B0	禰	14573	U+7962	祢	161	90.516	kSimplifiedVariant,kTraditionalVariant
U+6A62	橢	627	U+692D	椭	7	89.571	kSimplifiedVariant,kTraditionalVariant
U+79AA	禪	334734	U+7985	禅	3756	89.120	kSimplifiedVariant,kTraditionalVariant
U+560D	嘍	798	U+55BD	喽	9	88.667	kSimplifiedVariant,kTraditionalVariant
U+7064	灤	5017	U+6EE6	滦	57	88.018	kSimplifiedVariant,kTraditionalVariant
U+96CB	雋	12082	U+96BD	隽	138	87.551	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+7C6A	籪	175	U+7C16	簖	2	87.500	kSimplifiedVariant,kTraditionalVariant
U+6A23	樣	10203	U+6837	样	118	86.466	kSimplifiedVariant,kTraditionalVariant
U+6597	斗	160010	U+9B25	鬥	1852	86.398	kSimplifiedVariant,kTraditionalVariant
U+6FA9	澩	172	U+6CF6	泶	2	86.000	kSimplifiedVariant,kTraditionalVariant
U+64FB	擻	2058	U+64DE	擞	24	85.750	kSimplifiedVariant,kTraditionalVariant
U+883B	蠻	71237	U+86EE	蛮	832	85.621	kSimplifiedVariant,kTraditionalVariant
U+5B7F	孿	340	U+5B6A	孪	4	85.000	kSimplifiedVariant,kTraditionalVariant
U+7646	癆	509	U+75E8	痨	6	84.833	kSimplifiedVariant,kTraditionalVariant
U+677E	松	219712	U+9B06	鬆	2611	84.149	kSimplifiedVariant,kTraditionalVariant
U+5F4E	彎	7049	U+5F2F	弯	84	83.917	kSimplifiedVariant,kTraditionalVariant
U+8667	虧	43590	U+4E8F	亏	522	83.506	kSimplifiedVariant,kTraditionalVariant
U+5006	倆	3209	U+4FE9	俩	39	82.282	kSimplifiedVariant,kTraditionalVariant
U+6A5F	機	232005	U+673A	机	2867	80.923	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+6200	戀	31056	U+604B	恋	385	80.665	kSemanticVariant,kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+9069	適	209229	U+9002	适	2639	79.283	kSimplifiedVariant,kTraditionalVariant
U+9EA5	麥	81658	U+9EA6	麦	1035	78.897	kSimplifiedVariant,kTraditionalVariant
U+6AEB	櫫	78	U+6A65	橥	1	78.000	kSimplifiedVariant,kTraditionalVariant
U+7AF6	競	53965	U+7ADE	竞	697	77.425	kSimplifiedVariant,kTraditionalVariant
U+6F5A	潚	464	U+3D0B	㴋	6	77.333	kSimplifiedVariant,kTraditionalVariant
U+9087	邇	34998	U+8FE9	迩	461	75.918	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+737B	獻	290063	U+732E	献	3824	75.853	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+58BB	墻	27824	U+5899	墙	368	75.609	kSimplifiedVariant,kTraditionalVariant
U+91CC	里	989487	U+88E1	裡	13255	74.650	kSimplifiedVariant,kTraditionalVariant
U+763B	瘻	2514	U+7618	瘘	34	73.941	kSimplifiedVariant,kTraditionalVariant
U+5DB8	嶸	7696	U+5D58	嵘	107	71.925	kSimplifiedVariant,kTraditionalVariant
U+7030	瀰	4812	U+3CFD	㳽	67	71.821	kSimplifiedVariant,kTraditionalVariant
U+65B7	斷	434630	U+65AD	断	6114	71.088	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+93A2	鎢	70	U+94A8	钨	1	70.000	kSimplifiedVariant,kTraditionalVariant
U+7AA9	窩	8156	U+7A9D	窝	117	69.709	kSimplifiedVariant,kTraditionalVariant
U+97FB	韻	410385	U+97F5	韵	5940	69.088	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+66F2	曲	304552	U+9EAF	麯	4416	68.966	kSimplifiedVariant,kTraditionalVariant
U+87E3	蟣	1895	U+866E	虮	28	67.679	kSimplifiedVariant,kTraditionalVariant
U+529A	劚	1059	U+3509	㔉	17	62.294	kSimplifiedVariant,kTraditionalVariant
U+5C68	屨	20569	U+5C66	屦	334	61.584	kSimplifiedVariant,kTraditionalVariant
U+4E86	了	252258	U+77AD	瞭	4101	61.511	kSimplifiedVariant,kTraditionalVariant
U+8541	蕁	123	U+8368	荨	2	61.500	kSimplifiedVariant,kTraditionalVariant
U+50C2	僂	4755	U+507B	偻	78	60.962	kSimplifiedVariant,kTraditionalVariant
U+9F72	齲	1000	U+9F8B	龋	17	58.824	kSimplifiedVariant,kTraditionalVariant
U+6488	撈	2647	U+635E	捞	45	58.822	kSimplifiedVariant,kTraditionalVariant
U+8828	蠨	759	U+87CF	蟏	13	58.385	kSimplifiedVariant,kTraditionalVariant
U+56B2	嚲	1649	U+4EB8	亸	29	56.862	kSimplifiedVariant,kTraditionalVariant
U+77B6	瞶	2242	U+7786	瞆	40	56.050	kSimplifiedVariant,kTraditionalVariant
U+6578	數	979241	U+6570	数	17598	55.645	kSimplifiedVariant,kTraditionalVariant
U+8594	薔	4247	U+8537	蔷	77	55.156	kSimplifiedVariant,kTraditionalVariant
U+64D4	擔	24412	U+62C5	担	443	55.106	kSemanticVariant,kSimplifiedVariant,kSpecializedSemanticVariant,kTraditionalVariant
U+91C1	釁	18718	U+8845	衅	344	54.413	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+5F11	弑	49202	U+5F12	弒	908	54.187	kSimplifiedVariant,kTraditionalVariant
U+58DE	壞	108762	U+574F	坏	2016	53.949	kSimplifiedVariant,kTraditionalVariant
U+8DA8	趨	85368	U+8D8B	趋	1601	53.322	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+9B92	鮒	4295	U+9C8B	鲋	81	53.025	kSimplifiedVariant,kTraditionalVariant
U+6A13	樓	226001	U+697C	楼	4286	52.730	kSimplifiedVariant,kTraditionalVariant
U+6BBB	殻	19796	U+58F3	壳	382	51.822	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+737C	獼	4019	U+7315	猕	79	50.873	kSimplifiedVariant,kTraditionalVariant
U+91D0	釐	74312	U+5398	厘	1477	50.313	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+9AD6	髖	547	U+9ACB	髋	11	49.727	kSimplifiedVariant,kTraditionalVariant
U+9EBC	麼	207945	U+4E48	么	4227	49.194	kSimplifiedVariant,kTraditionalVariant
U+838A	莊	230571	U+5E84	庄	4753	48.511	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant
U+5D81	嶁	1212	U+5D5D	嵝	25	48.480	kSimplifiedVariant,kTraditionalVariant
U+58C8	壈	915	U+21484	𡒄	19	48.158	kSimplifiedVariant,kTraditionalVariant
U+76BA	皺	5053	U+76B1	皱	109	46.358	kSimplifiedVariant,kTraditionalVariant
U+6052	恒	138969	U+6046	恆	3045	45.638	kSemanticVariant,kSimplifiedVariant,kTraditionalVariant,kZVariant
U+7DB2	網	60588	U+7F51	网	1350	44.880	kSimplifiedVariant,kTraditionalVariant
U+6C02	氂	2280	U+7266	牦	51	44.706	kSimplifiedVariant,kTraditionalVariant
U+8070	聰	53803	U+806A	聪	1207	44.576	kSimplifiedVariant,kTraditionalVariant
