replace	cp_major	char_major	count_major	cp_minor	char_minor	count_minor	ratio_major_over_minor	types	major_sources	minor_sources
yes	U+9109	鄉	305902	U+4E61	乡	7	43700.286	kSimplifiedVariant,kTraditionalVariant	GHJT1/ATHM	G/AG
yes	U+98FD	飽	43550	U+9971	饱	1	43550.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATJHKMP	G/AG
yes	U+8208	興	609624	U+5174	兴	14	43544.571	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GHJ/AG
yes	U+725B	牛	260980	U+725C	牜	6	43496.667	kSemanticVariant	GHJKpKT1V/AGTJHKMP	GHJ
yes	U+7DD2	緒	43041	U+7EEA	绪	1	43041.000	kSimplifiedVariant,kTraditionalVariant	GHJT1/ATJHM	G/AG
yes	U+8CA0	負	169972	U+8D1F	负	4	42493.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+718F	熏	42433	U+24455	𤑕	1	42433.000	kSemanticVariant	GHJKpKT2V/AGTJKMP	GJ
yes	U+7D8F	綏	42410	U+7EE5	绥	1	42410.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+8AA3	誣	42321	U+8BEC	诬	1	42321.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+7DBA	綺	42289	U+7EEE	绮	1	42289.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATJHKMP	G/CG
yes	U+860A	蘊	42107	U+8574	蕴	1	42107.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATJHKMP	G/AG
yes	U+8B39	謹	206692	U+8C28	谨	5	41338.400	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+8AED	諭	165326	U+8C15	谕	4	41331.500	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/CG
yes	U+8CA1	財	164954	U+34B2	㒲	4	41238.500	kSemanticVariant	GHJKpKT1V/ATJHKMP	GJKT3
yes	U+8A85	誅	122765	U+8BDB	诛	3	40921.667	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+8F14	輔	163471	U+8F85	辅	4	40867.750	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATJHKMP	G/AG
yes	U+63DA	揚	203622	U+626C	扬	5	40724.400	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+5B6B	孫	529133	U+5B59	孙	13	40702.538	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+8AAA	說	1234644	U+8BF4	说	31	39827.226	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATHKMP	G/AG
yes	U+5BEB	寫	77905	U+5199	写	2	38952.500	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATHKMP	GJKT3/AGJ
yes	U+9812	頒	38882	U+9881	颁	1	38882.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+4E00	一	6961417	U+5F0C	弌	180	38674.539	kSemanticVariant	GHJKpKT1V/AGTJHKMP	GHJKpKT3/CJ
yes	U+7D61	絡	38249	U+7EDC	络	1	38249.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+9808	須	420377	U+987B	须	11	38216.091	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+5009	倉	114384	U+4ED3	仓	3	38128.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+570D	圍	150007	U+56F4	围	4	37501.750	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATHKMP	G/AG
yes	U+85DD	藝	74610	U+827A	艺	2	37305.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GHV/AG
yes	U+8AEB	諫	111700	U+8C0F	谏	3	37233.333	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/CG
yes	U+8ACB	請	591546	U+8BF7	请	16	36971.625	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+8B02	謂	2079311	U+8C13	谓	57	36479.140	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATJHKMP	G/AG
yes	U+8A17	託	71624	U+8BAC	讬	2	35812.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G
yes	U+8A1B	訛	35775	U+8BB9	讹	1	35775.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	G/AG
yes	U+8F12	輒	71398	U+8F84	辄	2	35699.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATHKMP	G/CG
yes	U+8CBD	貽	35681	U+8D3B	贻	1	35681.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1/ATJHKMP	G/CG
yes	U+9577	長	1333867	U+957F	长	38	35101.763	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATJHKMP	GH/AG
yes	U+71D2	燒	103353	U+70E7	烧	3	34451.000	kSimplifiedVariant,kTraditionalVariant	GHJKpKT1V/ATHKMP	G/AG
