cp_hex	char	count
U+7537	男	247436
U+5937	夷	246947
U+71DF	營	246777
U+5DF3	巳	246492
U+7FD2	習	246443
U+6EAA	溪	245520
U+4F10	伐	245473
U+5F90	徐	245470
U+9280	銀	244584
U+5FFD	忽	244250
U+812B	脫	244019
U+651D	攝	243101
U+76E3	監	242480
U+9867	顧	242409
U+4ECD	仍	242190
U+9A5A	驚	241062
U+9EBB	麻	240290
U+514D	免	240193
U+7BA1	管	239704
U+70CF	烏	239494
U+6B0A	權	239297
U+5C0B	尋	238980
U+660C	昌	238615
U+5B5F	孟	238542
U+719F	熟	238111
U+7BC7	篇	238111
U+6842	桂	237756
U+9662	院	237325
U+7ADF	竟	237184
U+9091	邑	236713
U+64DA	據	236463
U+53EC	召	236461
U+770B	看	235144
U+9732	露	235051
U+6B8A	殊	235020
U+675C	杜	234730
U+7FA3	羣	234275
U+864E	虎	233904
U+679D	枝	233714
U+7C73	米	233341
U+6557	敗	233017
U+8FB0	辰	232435
U+6F38	漸	232361
U+7940	祀	232308
U+5EE2	廢	231673
U+51B7	冷	231406
U+5211	刑	230794
U+96DC	雜	230486
U+653E	放	230289
U+805A	聚	230211
U+93AE	鎮	228687
U+5E78	幸	228496
U+813E	脾	228451
U+8A73	詳	228289
U+65E0	无	228035
U+7C21	簡	227961
U+9632	防	227909
U+79C1	私	226932
U+5144	兄	225309
U+677E	松	224832
U+838A	莊	224449
U+6E90	源	224043
U+6FD5	濕	223865
U+5D07	崇	223747
U+5546	商	223280
U+64AB	撫	223215
U+4F9B	供	223036
U+7D0D	納	222920
U+53D4	叔	222882
U+60B2	悲	222608
U+66F9	曹	222143
U+95D5	闕	221930
U+865A	虚	221899
U+97D3	韓	221753
U+5EB6	庶	220598
U+5E7D	幽	220435
U+5EF7	廷	220412
U+7D66	給	220006
U+6848	案	219948
U+7384	玄	219734
U+4E08	丈	219640
U+6A13	樓	219625
U+6C60	池	219362
U+5C3C	尼	219017
U+589E	增	218105
U+5EAD	庭	217574
U+7981	禁	217362
U+8584	薄	217107
U+7372	獲	217056
U+79FB	移	216724
U+5047	假	216595
U+652F	支	216296
U+5FD8	忘	216251
U+9EBC	麼	216226
U+653B	攻	216184
U+6BDB	毛	215873
U+4F11	休	215757
U+9069	適	215715
U+5019	候	215439
U+53A5	厥	215149
U+5B64	孤	215048
U+54B8	咸	215024
U+8986	覆	214845
U+7D71	統	213698
U+56DE	回	213262
U+71D5	燕	212932
U+9B3C	鬼	212182
U+6E1B	減	211882
U+51A0	冠	211809
U+8FA8	辨	211566
U+8B00	謀	211541
U+7814	研	210791
U+7B11	笑	210561
U+6148	慈	209720
U+4EAD	亭	209295
U+5E36	帶	208902
U+8591	薑	208596
U+9CE5	鳥	208473
U+66FE	曾	208165
U+5C04	射	207943
U+54E1	員	207745
U+5E76	并	207077
U+8B39	謹	206975
U+5805	堅	206394
U+7E7C	繼	205960
U+975C	靜	205745
U+638C	掌	205390
U+5112	儒	205318
U+8C37	谷	204406
U+4F8B	例	203901
U+52D9	務	203846
U+52FF	勿	203777
U+689D	條	203664
U+53CB	友	203307
U+97FB	韻	203022
U+4E59	乙	202957
U+9678	陸	202929
U+5C24	尤	202460
U+96B1	隱	202445
U+8C9E	貞	202004
U+9CF4	鳴	201931
U+6551	救	201804
U+606D	恭	201778
U+7565	略	201592
U+5BC4	寄	201463
U+535A	博	201196
U+5782	垂	200940
U+6D1E	洞	200457
U+63DA	揚	200282
U+96C5	雅	200081
U+58FD	壽	199965
U+7562	畢	199919
U+821F	舟	199859
U+69AE	榮	199778
U+965B	陛	199003
U+8CC7	資	198802
U+5BC6	密	198649
U+585E	塞	198345
U+88CF	裏	197962
U+5E72	干	197734
U+80BA	肺	197646
U+9A0E	騎	197505
U+809D	肝	197384
U+4E1E	丞	197127
U+95A3	閣	196573
U+6298	折	195730
U+611A	愚	195211
U+6DEE	淮	194020
U+73E0	珠	193742
U+6F0F	漏	193685
U+4E5E	乞	193441
U+60E0	惠	193409
U+609F	悟	192912
U+871C	蜜	192040
U+8C46	豆	191746
U+8A66	試	190828
U+7B46	筆	190724
U+7F8A	羊	190589
U+5BCC	富	190424
U+72C0	狀	189742
U+6548	效	189662
U+63A5	接	189355
U+9078	選	189160
U+814E	腎	188739
U+980C	頌	188585
U+666E	普	188562
U+9F4B	齋	188386
U+6D2A	洪	188021
U+7B26	符	187962
U+5FCD	忍	187899
U+754F	畏	187885
U+5F17	弗	187879
U+7763	督	187795
